"component","origin","license","copyright"
"@babel/plugin-syntax-object-rest-spread","@babel/plugin-syntax-object-rest-spread","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-optional-catch-binding","@babel/plugin-syntax-optional-catch-binding","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-optional-chaining","@babel/plugin-syntax-optional-chaining","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-private-property-in-object","@babel/plugin-syntax-private-property-in-object","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-top-level-await","@babel/plugin-syntax-top-level-await","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-typescript","@babel/plugin-syntax-typescript","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-transform-react-jsx-self","@babel/plugin-transform-react-jsx-self","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-transform-react-jsx-source","@babel/plugin-transform-react-jsx-source","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/runtime","@babel/runtime","['MIT']","['Facebook', 'Inc.', 'Sebastian McKenzie and other contributors']"
"@babel/template","@babel/template","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/traverse","@babel/traverse","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/types","@babel/types","['MIT']","['Sebastian McKenzie and other contributors']"
"@balena/dockerignore","@balena/dockerignore","['Apache-2.0']","['Balena Ltd.', 'Inc.', 'Zeit', 'Zeit Inc.']"
"@bcoe/v8-coverage","@bcoe/v8-coverage","['ISC AND MIT']","['Charles Samborski', 'Contributors']"
"@cspotcode/source-map-support","@cspotcode/source-map-support","['MIT']","['Evan Wallace']"
"@datadog/browser-core","https://github.com/DataDog/browser-sdk","['Apache-2.0']","['Datadog Inc.']"
"@datadog/browser-rum","https://github.com/DataDog/browser-sdk","['Apache-2.0']","['Datadog Inc.']"
"@datadog/browser-rum-core","https://github.com/DataDog/browser-sdk","['Apache-2.0']","['Datadog Inc.']"
"@datadog/browser-rum-react","https://github.com/DataDog/browser-sdk","['Apache-2.0']","['Datadog Inc.']"
"@datadog/libdatadog","@datadog/libdatadog","['Apache-2.0']","[]"
"@datadog/native-appsec","https://github.com/DataDog/dd-native-appsec-js","['Apache-2.0']","['Datadog', 'Inc.']"
"@datadog/native-iast-taint-tracking","@datadog/native-iast-taint-tracking","['Apache-2.0 AND BSD-3-Clause AND MIT']","['Datadog', 'Dave Dopson', 'Inc.', 'James Grenning and Bas Vodde', 'Kenneth Geisshirt', 'Michael Allen', 'Michael Feathers', 'NAN contributors', 'Node.js', 'OpenJS Foundation and contributors']"
"@datadog/native-metrics","@datadog/native-metrics","['Apache-2.0 AND MIT']","['Datadog', 'Inc.']"
"@datadog/pprof","@datadog/pprof","['Apache-2.0']","['Google Inc.']"
"@datadog/sketches-js","@datadog/sketches-js","['Apache-2.0']","['Datadog', 'Inc.']"
"@datadog/wasm-js-rewriter","@datadog/wasm-js-rewriter","['Apache-2.0']","[]"
"@emotion/babel-plugin","@emotion/babel-plugin","['MIT']","['Emotion team and other contributors']"
"@emotion/cache","@emotion/cache","['MIT']","['Emotion team and other contributors']"
"@emotion/hash","@emotion/hash","['MIT']","['Emotion team and other contributors']"
"@emotion/is-prop-valid","@emotion/is-prop-valid","['MIT']","['Emotion team and other contributors']"
"@emotion/memoize","@emotion/memoize","['MIT']","['Emotion team and other contributors']"
"@emotion/react","@emotion/react","['MIT']","['Emotion team and other contributors', 'Facebook', 'Inc. and its affiliates', 'Yahoo! Inc. s']"
"@emotion/serialize","@emotion/serialize","['MIT']","['Emotion team and other contributors']"
"@emotion/sheet","@emotion/sheet","['MIT']","['Emotion team and other contributors']"
"@emotion/styled","@emotion/styled","['MIT']","['Emotion team and other contributors']"
"@emotion/unitless","@emotion/unitless","['MIT']","['Emotion team and other contributors']"
"@emotion/use-insertion-effect-with-fallbacks","@emotion/use-insertion-effect-with-fallbacks","['MIT']","['Emotion team and other contributors']"
"@emotion/utils","@emotion/utils","['MIT']","['Emotion team and other contributors']"
"@emotion/weak-memoize","@emotion/weak-memoize","['MIT']","['Emotion team and other contributors']"
"@esbuild/aix-ppc64","@esbuild/aix-ppc64","['MIT']","[]"
"@esbuild/android-arm","@esbuild/android-arm","['MIT']","['The Go Authors']"
"@esbuild/android-arm64","@esbuild/android-arm64","['MIT']","[]"
"@esbuild/android-x64","@esbuild/android-x64","['MIT']","['The Go Authors']"
"@esbuild/darwin-arm64","@esbuild/darwin-arm64","['MIT']","[]"
"@esbuild/darwin-x64","@esbuild/darwin-x64","['MIT']","[]"
"@esbuild/freebsd-arm64","@esbuild/freebsd-arm64","['MIT']","[]"
"@esbuild/freebsd-x64","@esbuild/freebsd-x64","['MIT']","[]"
"@esbuild/linux-arm","@esbuild/linux-arm","['MIT']","[]"
"@esbuild/linux-arm64","@esbuild/linux-arm64","['MIT']","[]"
"@esbuild/linux-ia32","@esbuild/linux-ia32","['MIT']","[]"
"@esbuild/linux-loong64","@esbuild/linux-loong64","['MIT']","[]"
"@esbuild/linux-mips64el","@esbuild/linux-mips64el","['MIT']","[]"
"@esbuild/linux-ppc64","@esbuild/linux-ppc64","['MIT']","[]"
"@esbuild/linux-riscv64","@esbuild/linux-riscv64","['MIT']","[]"
"@esbuild/linux-s390x","@esbuild/linux-s390x","['MIT']","[]"
"@esbuild/linux-x64","@esbuild/linux-x64","['MIT']","[]"
"@esbuild/netbsd-arm64","@esbuild/netbsd-arm64","['MIT']","[]"
"@esbuild/netbsd-x64","@esbuild/netbsd-x64","['MIT']","[]"
"@esbuild/openbsd-arm64","@esbuild/openbsd-arm64","['MIT']","[]"
"@esbuild/openbsd-x64","@esbuild/openbsd-x64","['MIT']","[]"
"@esbuild/openharmony-arm64","@esbuild/openharmony-arm64","['MIT']","['The Go Authors']"
"@esbuild/sunos-x64","@esbuild/sunos-x64","['MIT']","[]"
"@esbuild/win32-arm64","@esbuild/win32-arm64","['MIT']","[]"
"@esbuild/win32-ia32","@esbuild/win32-ia32","['MIT']","[]"
"@esbuild/win32-x64","@esbuild/win32-x64","['MIT']","[]"
"@eslint-community/eslint-utils","@eslint-community/eslint-utils","['MIT']","['Toru Nagashima']"
"@eslint-community/regexpp","@eslint-community/regexpp","['MIT']","['Toru Nagashima']"
"@eslint/config-array","@eslint/config-array","['Apache-2.0']","['the Deno authors']"
"@eslint/config-helpers","@eslint/config-helpers","['Apache-2.0']","[]"
"@eslint/core","@eslint/core","['Apache-2.0']","[]"
"@eslint/eslintrc","@eslint/eslintrc","['MIT']","['<www.openjsf.org>', 'Evgeny Poberezkin', 'Microsoft Corporation', 'OpenJS Foundation and other contributors']"
"@eslint/js","@eslint/js","['MIT']","['<www.openjsf.org>', 'OpenJS Foundation and other contributors']"
"@eslint/object-schema","@eslint/object-schema","['Apache-2.0']","[]"
"@eslint/plugin-kit","@eslint/plugin-kit","['Apache-2.0']","[]"
"@humanfs/core","@humanfs/core","['Apache-2.0']","[]"
"@humanfs/node","@humanfs/node","['Apache-2.0']","[]"
"@humanwhocodes/module-importer","@humanwhocodes/module-importer","['Apache-2.0']","[]"
"@humanwhocodes/retry","@humanwhocodes/retry","['Apache-2.0']","['Ben Noordhuis', 'Isaac Z. Schlueter', 'and Contributors']"
"@isaacs/fs-minipass","@isaacs/fs-minipass","['ISC']","['Isaac Z. Schlueter and Contributors']"
"@isaacs/ttlcache","@isaacs/ttlcache","['ISC']","['- Isaac Z. Schlueter and Contributors']"
"@istanbuljs/load-nyc-config","@istanbuljs/load-nyc-config","['ISC']","['Contributors']"
"@istanbuljs/schema","@istanbuljs/schema","['MIT']","['CFWare', 'LLC']"
"@jest/console","@jest/console","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/core","@jest/core","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/environment","@jest/environment","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/expect","@jest/expect","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/expect-utils","@jest/expect-utils","['MIT']","['Inc. and affiliates', 'Meta Platforms', 'Pivotal Labs']"
"@jest/fake-timers","@jest/fake-timers","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/globals","@jest/globals","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/reporters","@jest/reporters","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/schemas","@jest/schemas","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/source-map","@jest/source-map","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/test-result","@jest/test-result","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/test-sequencer","@jest/test-sequencer","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/transform","@jest/transform","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jest/types","@jest/types","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"@jridgewell/gen-mapping","@jridgewell/gen-mapping","['MIT']","['Justin Ridgewell <jridgewell@google.com>']"
"@jridgewell/remapping","@jridgewell/remapping","['MIT']","['Justin Ridgewell <justin@ridgewell.name>']"
"@jridgewell/resolve-uri","@jridgewell/resolve-uri","['MIT']","['Justin Ridgewell <jridgewell@google.com>']"
"@jridgewell/set-array","@jridgewell/set-array","['MIT']","['Justin Ridgewell <jridgewell@google.com>']"
"@jridgewell/sourcemap-codec","@jridgewell/sourcemap-codec","['MIT']","['Rich Harris']"
"@jridgewell/trace-mapping","@jridgewell/trace-mapping","['MIT']","['Justin Ridgewell <justin@ridgewell.name>']"
"@jsep-plugin/assignment","@jsep-plugin/assignment","['MIT']","['Stephen Oney', 'https://ericsmekens.github.io/jsep']"
"@jsep-plugin/regex","@jsep-plugin/regex","['MIT']","['Stephen Oney', 'https://ericsmekens.github.io/jsep']"
"@mui/core-downloads-tracker","@mui/core-downloads-tracker","['MIT']","['Call-Em-All']"
"@mui/icons-material","@mui/icons-material","['MIT']","['Call-Em-All']"
"@mui/material","@mui/material","['MIT']","['Call-Em-All']"
"@mui/private-theming","@mui/private-theming","['MIT']","['Call-Em-All']"
"@mui/styled-engine","@mui/styled-engine","['MIT']","['Call-Em-All']"
"@mui/system","@mui/system","['MIT']","['Call-Em-All']"
"@mui/types","@mui/types","['MIT']","['Call-Em-All']"
"@mui/utils","@mui/utils","['MIT']","['Call-Em-All']"
"@opentelemetry/api","@opentelemetry/api","['Apache-2.0']","[]"
"@opentelemetry/core","@opentelemetry/core","['Apache-2.0']","[]"
"@opentelemetry/semantic-conventions","@opentelemetry/semantic-conventions","['Apache-2.0']","[]"
"@popperjs/core","@popperjs/core","['MIT']","['Federico Zivolo']"
"@protobufjs/aspromise","@protobufjs/aspromise","['BSD-3-Clause']","['Daniel Wirtz']"
"@protobufjs/base64","@protobufjs/base64","['BSD-3-Clause']","['Daniel Wirtz']"
"@protobufjs/codegen","@protobufjs/codegen","['BSD-3-Clause']","['Daniel Wirtz']"
"@protobufjs/eventemitter","@protobufjs/eventemitter","['BSD-3-Clause']","['Daniel Wirtz']"
"@protobufjs/fetch","@protobufjs/fetch","['BSD-3-Clause']","['Daniel Wirtz']"
"@protobufjs/float","@protobufjs/float","['BSD-3-Clause']","['Daniel Wirtz']"
"@protobufjs/inquire","@protobufjs/inquire","['BSD-3-Clause']","['Daniel Wirtz']"
"@protobufjs/path","@protobufjs/path","['BSD-3-Clause']","['Daniel Wirtz']"
"@protobufjs/pool","@protobufjs/pool","['BSD-3-Clause']","['Daniel Wirtz']"
"@protobufjs/utf8","@protobufjs/utf8","['BSD-3-Clause']","['Daniel Wirtz']"
"@rolldown/pluginutils","@rolldown/pluginutils","['MIT']","['VoidZero Inc. & Contributors']"
"@rollup/rollup-android-arm-eabi","@rollup/rollup-android-arm-eabi","['MIT']","[]"
"@rollup/rollup-android-arm64","@rollup/rollup-android-arm64","['MIT']","[]"
"@rollup/rollup-darwin-arm64","@rollup/rollup-darwin-arm64","['MIT']","[]"
"@rollup/rollup-darwin-x64","@rollup/rollup-darwin-x64","['MIT']","[]"
"@rollup/rollup-freebsd-arm64","@rollup/rollup-freebsd-arm64","['MIT']","[]"
"@rollup/rollup-freebsd-x64","@rollup/rollup-freebsd-x64","['MIT']","[]"
"@rollup/rollup-linux-arm-gnueabihf","@rollup/rollup-linux-arm-gnueabihf","['MIT']","[]"
"@rollup/rollup-linux-arm-musleabihf","@rollup/rollup-linux-arm-musleabihf","['MIT']","[]"
"@rollup/rollup-linux-arm64-gnu","@rollup/rollup-linux-arm64-gnu","['MIT']","[]"
"@rollup/rollup-linux-arm64-musl","@rollup/rollup-linux-arm64-musl","['MIT']","[]"
"@rollup/rollup-linux-loongarch64-gnu","@rollup/rollup-linux-loongarch64-gnu","['MIT']","[]"
"@rollup/rollup-linux-powerpc64le-gnu","@rollup/rollup-linux-powerpc64le-gnu","['MIT']","[]"
"@rollup/rollup-linux-riscv64-gnu","@rollup/rollup-linux-riscv64-gnu","['MIT']","[]"
"@rollup/rollup-linux-riscv64-musl","@rollup/rollup-linux-riscv64-musl","['MIT']","[]"
"@rollup/rollup-linux-s390x-gnu","@rollup/rollup-linux-s390x-gnu","['MIT']","[]"
"@rollup/rollup-linux-x64-gnu","@rollup/rollup-linux-x64-gnu","['MIT']","[]"
"@rollup/rollup-linux-x64-musl","@rollup/rollup-linux-x64-musl","['MIT']","[]"
"@rollup/rollup-win32-arm64-msvc","@rollup/rollup-win32-arm64-msvc","['MIT']","[]"
"@rollup/rollup-win32-ia32-msvc","@rollup/rollup-win32-ia32-msvc","['MIT']","[]"
"@rollup/rollup-win32-x64-msvc","@rollup/rollup-win32-x64-msvc","['MIT']","[]"
"@sinclair/typebox","@sinclair/typebox","['MIT']","['Haydn Paterson', 'Haydn Paterson (sinclair) <haydn.developer@gmail.com>']"
"@sinonjs/commons","@sinonjs/commons","['BSD-3-Clause']","['Sinon.JS']"
"@sinonjs/fake-timers","@sinonjs/fake-timers","['BSD-3-Clause']","['Christian Johansen', 'christian@cjohansen.no']"
"@tailwindcss/node","@tailwindcss/node","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide","@tailwindcss/oxide","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-android-arm64","@tailwindcss/oxide-android-arm64","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-darwin-arm64","@tailwindcss/oxide-darwin-arm64","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-darwin-x64","@tailwindcss/oxide-darwin-x64","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-freebsd-x64","@tailwindcss/oxide-freebsd-x64","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-linux-arm-gnueabihf","@tailwindcss/oxide-linux-arm-gnueabihf","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-linux-arm64-gnu","@tailwindcss/oxide-linux-arm64-gnu","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-linux-arm64-musl","@tailwindcss/oxide-linux-arm64-musl","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-linux-x64-gnu","@tailwindcss/oxide-linux-x64-gnu","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-linux-x64-musl","@tailwindcss/oxide-linux-x64-musl","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-wasm32-wasi","@tailwindcss/oxide-wasm32-wasi","['MIT']","['GitHub', 'Inc. and other Node contributors', 'Joyent', 'LongYinan', 'Microsoft Corporation', 'Toyobayashi']"
"@tailwindcss/oxide-win32-arm64-msvc","@tailwindcss/oxide-win32-arm64-msvc","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/oxide-win32-x64-msvc","@tailwindcss/oxide-win32-x64-msvc","['MIT']","['Inc.', 'Tailwind Labs']"
"@tailwindcss/vite","https://github.com/tailwindlabs/tailwindcss","['MIT']","['Inc.', 'Tailwind Labs']"
"@tsconfig/node10","@tsconfig/node10","['MIT']","['Microsoft Corporation']"
"@tsconfig/node12","@tsconfig/node12","['MIT']","['Microsoft Corporation']"
"@tsconfig/node14","@tsconfig/node14","['MIT']","['Microsoft Corporation']"
"@tsconfig/node16","@tsconfig/node16","['MIT']","['Microsoft Corporation']"
"@types/babel__core","@types/babel__core","['MIT']","['Microsoft Corporation']"
"@types/babel__generator","@types/babel__generator","['MIT']","['Microsoft Corporation']"
"@types/babel__template","@types/babel__template","['MIT']","['Microsoft Corporation']"
"@types/babel__traverse","@types/babel__traverse","['MIT']","['Microsoft Corporation']"
"@types/estree","@types/estree","['MIT']","['Microsoft Corporation']"
"@types/graceful-fs","@types/graceful-fs","['MIT']","['Microsoft Corporation']"
"@types/istanbul-lib-coverage","@types/istanbul-lib-coverage","['MIT']","['Microsoft Corporation']"
"@types/istanbul-lib-report","@types/istanbul-lib-report","['MIT']","['Microsoft Corporation']"
"@types/istanbul-reports","@types/istanbul-reports","['MIT']","['Microsoft Corporation']"
"@types/jest","@types/jest","['MIT']","['Microsoft Corporation']"
"@types/json-schema","@types/json-schema","['MIT']","['Microsoft Corporation']"
"@types/node","@types/node","['MIT']","['Microsoft Corporation', 'Node.js contributors']"
"@types/parse-json","@types/parse-json","['MIT']","['Microsoft Corporation']"
"@types/prop-types","@types/prop-types","['MIT']","[]"
"@types/react","@types/react","['MIT']","['Microsoft Corporation']"
"@types/react-dom","@types/react-dom","['MIT']","['Microsoft Corporation']"
"@types/react-transition-group","@types/react-transition-group","['MIT']","['Microsoft Corporation']"
"@types/stack-utils","@types/stack-utils","['MIT']","['Microsoft Corporation']"
"@types/yargs","@types/yargs","['MIT']","['Microsoft Corporation']"
"@types/yargs-parser","@types/yargs-parser","['MIT']","['Microsoft Corporation']"
"@vitejs/plugin-react","@vitejs/plugin-react","['MIT']","['Inc. and affiliates', 'Meta Platforms', 'Yuxi']"
"AWSSDK.DynamoDBv2","AWSSDK.DynamoDBv2","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates']"
"AWSSDK.EventBridge","AWSSDK.EventBridge","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates']"
"AWSSDK.Extensions.NETCore.Setup","AWSSDK.Extensions.NETCore.Setup","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates']"
"AWSSDK.SQS","AWSSDK.SQS","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates']"
"AWSSDK.SimpleNotificationService","AWSSDK.SimpleNotificationService","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates']"
"Amazon.Lambda.APIGatewayEvents","https://github.com/aws/aws-lambda-dotnet","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates.']"
"Amazon.Lambda.Annotations","Amazon.Lambda.Annotations","['Apache-2.0 AND MIT']","['Antoine Aubry and contributors', 'James Newton-King', 'James Newton-King Json.NET']"
"Amazon.Lambda.CloudWatchEvents","Amazon.Lambda.CloudWatchEvents","['Apache-2.0']","['Amazon Web Services', 'Inc. or its affiliates']"
"Amazon.Lambda.Core","Amazon.Lambda.Core","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates', 'L Amazon.com']"
"Amazon.Lambda.KafkaEvents","https://github.com/aws/aws-lambda-dotnet/","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates.']"
"Amazon.Lambda.SNSEvents","Amazon.Lambda.SNSEvents","['Apache-2.0']","['Amazon Web Services', 'Amazon.com', 'Inc. or its affiliates', 'L Amazon.com']"
"Amazon.Lambda.SQSEvents","Amazon.Lambda.SQSEvents","['Apache-2.0']","['Amazon Web Services', 'Amazon.com', 'Inc. or its affiliates']"
"Amazon.Lambda.Serialization.SystemTextJson","Amazon.Lambda.Serialization.SystemTextJson","['Apache-2.0']","['Amazon Web Services', 'Inc. or its affiliates']"
"Asp.Versioning.Http","Asp.Versioning.Http","['MIT']","['.NET Foundation', '.NET Foundation and contributors']"
"Aspire.Hosting.AWS","Aspire.Hosting.AWS","['MIT AND MIT-0']","['Amazon.com', 'Inc. or its affiliates']"
"Aspire.Hosting.AppHost","Aspire.Hosting.AppHost","['MIT']","['Inc', 'Microsoft Corporation', 'Plotly', 'The Bootstrap Authors']"
"Aspire.Hosting.Azure.CosmosDB","Aspire.Hosting.Azure.CosmosDB","['MIT']","['Inc', 'Microsoft Corporation', 'Plotly', 'The Bootstrap Authors']"
"Aspire.Hosting.Azure.Functions","Aspire.Hosting.Azure.Functions","['MIT']","['Inc', 'Microsoft Corporation', 'Plotly', 'The Bootstrap Authors']"
"Aspire.Hosting.Azure.ServiceBus","Aspire.Hosting.Azure.ServiceBus","['MIT']","['Inc', 'Microsoft Corporation', 'Plotly', 'The Bootstrap Authors']"
"Aspire.Hosting.Kafka","Aspire.Hosting.Kafka","['MIT']","['Inc', 'Microsoft Corporation', 'Plotly', 'The Bootstrap Authors']"
"Aspire.Hosting.PostgreSQL","https://github.com/dotnet/aspire","['MIT']","['.NET Foundation and Contributors']"
"Aspire.Hosting.Testing","Aspire.Hosting.Testing","['MIT']","['Inc', 'Microsoft Corporation', 'Plotly', 'The Bootstrap Authors']"
"Azure.Messaging.ServiceBus","Azure.Messaging.ServiceBus","['LicenseRef-scancode-generic-cla AND MIT']","['Microsoft Corporation']"
"CloudNative.CloudEvents","CloudNative.CloudEvents","['Apache-2.0']","['Cloud Native Foundation']"
"CloudNative.CloudEvents.SystemTextJson","CloudNative.CloudEvents.SystemTextJson","['Apache-2.0']","['Cloud Native Foundation']"
"Confluent.Kafka","Confluent.Kafka","['Apache-2.0']","['Andreas Heider', 'Andreas Heider Kafka Confluent', 'Confluent Inc.', 'Confluent Inc. (https://www.confluent.io) Andreas Heider']"
"Datadog.Sma","Datadog.Sma","[]","['the UPX Team']"
"Datadog.Trace","Datadog.Trace","['Apache-2.0']","['Datadog', 'Inc.', 'Inc. Datadog APM', 'Inc. Instrumentation', 'Inc. OriginalFilename Datadog.Trace.Manual.dll']"
"Datadog.Trace.Bundle","Datadog.Trace.Bundle","['Apache-2.0']","['Datadog', 'Entrust', 'Entrust.net Limited1301 Entrust.net Certification', 'Inc.', 'Inc. - for', 'Inc. Datadog APM', 'Inc. Instrumentation', 'Inc. OriginalFilename Datadog.Trace.ClrProfiler.Managed.Loader.dll', 'Inc. OriginalFilename Datadog.Trace.MSBuild.dll', 'Inc. OriginalFilename Datadog.Trace.dll', 'Inc. OriginalFilename Datadog.Tracer.Native.DLL', 'the UPX Team']"
"FakeItEasy","FakeItEasy","['MIT']","['FakeItEasy contributors. (fakeiteasyfx@gmail.com)']"
"FluentAssertions","FluentAssertions","['Apache-2.0']","['Dennis Doomen']"
"Google.Cloud.PubSub.V1","Google.Cloud.PubSub.V1","['Apache-2.0']","['Google LLC', 'Google LLC PubSub Google Cloud', 'Google LLC Recommended Google']"
"Microsoft.ApplicationInsights.WorkerService","Microsoft.ApplicationInsights.WorkerService","['MIT']","['Microsoft Corporation']"
